"","V1","V2"
"1018",168,115
"1019",115,156
"1020",156,80
"1021",80,17
"1022",17,160
"1023",160,89
"1024",89,48
"1025",48,118
"1026",118,166
"1027",166,89
"1028",89,132
"1029",132,59
"1030",59,108
"1031",108,173
"1032",173,122
"1033",122,8
"1034",8,94
"1035",94,55
"1036",55,7
"1037",7,147
"1038",147,42
"1039",42,1
"1040",1,119
"1041",119,70
"1042",70,142
"1043",142,85
"1044",85,144
"1045",144,39
"1046",39,101
"1047",101,65
"1048",65,178
"1049",178,76
"1050",76,113
"1051",113,72
"1052",72,2
"1053",2,135
"1054",135,96
"1055",96,140
"1056",140,16
"1057",16,107
"1058",107,159
"1059",159,35
"1060",35,140
"1061",140,45
"1062",45,106
"1063",106,53
"1064",53,11
"1065",11,70
"1066",70,151
"1067",151,113
"1068",113,62
"1069",62,120
"1070",120,38
"1071",38,7
"1072",7,152
"1073",152,112
"1074",112,78
"1075",78,39
"1076",39,6
"1077",6,148
"1078",148,15
"1079",15,146
"1080",146,41
"1081",41,2
"1082",2,126
"1083",126,165
"1084",165,28
"1085",28,69
"1086",69,168
"1087",168,104
"1088",104,63
"1089",63,98
"1090",98,140
"1091",140,179
"1092",179,104
"1093",104,55
"1094",55,138
"1095",138,101
"1096",101,42
"1097",42,143
"1098",143,56
"1099",56,176
"1100",176,133
"1101",133,73
"1102",73,145
"1103",145,59
"1104",59,123
"1105",123,49
"1106",49,3
"1107",3,53
"1108",53,99
"1109",99,24
"1110",24,118
"1111",118,86
"1112",86,18
"1113",18,64
"1114",64,115
"1115",115,40
"1116",40,162
"1117",162,15
"1118",15,55
"1119",55,98
"1120",98,159
"1121",159,28
"1122",28,169
"1123",169,23
"1124",23,134
"1125",134,102
"1126",102,63
"1127",63,118
"1128",118,156
"1129",156,77
"1130",77,177
"1131",177,132
"1132",132,78
"1133",78,138
"1134",138,43
"1135",43,0
"1136",0,51
"1137",51,113
"1138",113,70
"1139",70,167
"1140",167,24
"1141",24,123
"1142",123,172
"1143",172,143
"1144",143,60
"1145",60,129
"1146",129,13
"1147",13,46
"1148",46,119
"1149",119,79
"1150",79,111
"1151",111,171
"1152",171,27
"1153",27,68
"1154",68,138
"1155",138,6
"1156",6,153
"1157",153,82
"1158",82,118
"1159",118,50
"1160",50,91
"1161",91,129
"1162",129,31
"1163",31,170
"1164",170,125
"1165",125,100
"1166",100,66
"1167",66,117
"1168",117,87
"1169",87,2
"1170",2,123
"1171",123,158
"1172",158,33
"1173",33,138
"1174",138,16
"1175",16,75
"1176",75,36
"1177",36,72
"1178",72,157
"1179",157,83
"1180",83,52
"1181",52,117
"1182",117,165
"1183",165,19
"1184",19,59
"1185",59,173
"1186",173,96
"1187",96,58
"1188",58,176
"1189",176,32
"1190",32,87
"1191",87,176
"1192",176,137
"1193",137,104
"1194",104,156
"1195",156,98
"1196",98,67
"1197",67,142
"1198",142,90
"1199",90,146
"1200",146,9
"1201",9,56
"1202",56,103
"1203",103,8
"1204",8,37
"1205",37,163
"1206",163,123
"1207",123,44
"1208",44,4
"1209",4,52
"1210",52,105
"1211",105,148
"1212",148,113
"1213",113,85
"1214",85,122
"1215",122,179
"1216",179,95
"1217",95,128
"1218",128,164
"1219",164,80
"1220",80,3
"1221",3,121
"1222",121,29
"1223",29,77
"1224",77,139
"1225",139,1
"1226",1,90
"1227",90,40
"1228",40,85
"1229",85,138
"1230",138,106
"1231",106,153
"1232",153,30
"1233",30,177
"1234",177,136
"1235",136,56
"1236",56,157
"1237",157,22
"1238",22,136
"1239",136,93
"1240",93,122
"1241",122,69
"1242",69,18
"1243",18,151
"1244",151,84
"1245",84,41
"1246",41,5
"1247",5,81
"1248",81,152
"1249",152,14
"1250",14,163
"1251",163,94
"1252",94,19
"1253",19,105
"1254",105,72
"1255",72,17
"1256",17,95
"1257",95,59
"1258",59,103
"1259",103,51
"1260",51,10
"1261",10,55
"1262",55,116
"1263",116,166
"1264",166,130
"1265",130,38
"1266",38,145
"1267",145,110
"1268",110,172
"1269",172,73
"1270",73,155
"1271",155,82
"1272",82,53
"1273",53,164
"1274",164,121
"1275",121,40
"1276",40,124
"1277",124,35
"1278",35,167
"1279",167,33
"1280",33,94
"1281",94,60
"1282",60,159
"1283",159,122
"1284",122,51
"1285",51,88
"1286",88,116
"1287",116,61
"1288",61,22
"1289",22,170
"1290",170,101
"1291",101,150
"1292",150,28
"1293",28,156
"1294",156,8
"1295",8,140
"1296",140,102
"1297",102,70
"1298",70,130
"1299",130,16
"1300",16,48
"1301",48,106
"1302",106,136
"1303",136,12
"1304",12,159
"1305",159,25
"1306",25,164
"1307",164,131
"1308",131,86
"1309",86,28
"1310",28,174
"1311",174,46
"1312",46,127
"1313",127,96
"1314",96,148
"1315",148,57
"1316",57,139
"1317",139,40
"1318",40,93
"1319",93,150
"1320",150,85
"1321",85,133
"1322",133,51
"1323",51,6
"1324",6,70
"1325",70,166
"1326",166,46
"1327",46,116
"1328",116,80
"1329",80,43
"1330",43,11
"1331",11,150
"1332",150,83
"1333",83,110
"1334",110,14
"1335",14,45
"1336",45,170
"1337",170,145
"1338",145,48
"1339",48,114
"1340",114,65
"1341",65,144
"1342",144,171
"1343",171,40
"1344",40,149
"1345",149,87
"1346",87,157
"1347",157,13
"1348",13,78
"1349",78,165
"1350",165,110
"1351",110,73
"1352",73,135
"1353",135,107
"1354",107,49
"1355",49,162
"1356",162,125
"1357",125,7
"1358",7,159
"1359",159,73
"1360",73,35
"1361",35,172
"1362",172,21
"1363",21,68
"1364",68,179
"1365",179,115
"1366",115,85
"1367",85,37
"1368",37,167
"1369",167,18
"1370",18,142
"1371",142,106
"1372",106,62
"1373",62,119
"1374",119,54
"1375",54,81
"1376",81,134
"1377",134,175
"1378",175,97
"1379",97,132
"1380",132,29
"1381",29,119
"1382",119,75
"1383",75,112
"1384",112,58
"1385",58,138
"1386",138,92
"1387",92,143
"1388",143,113
"1389",113,167
"1390",167,56
"1391",56,97
"1392",97,64
"1393",64,24
"1394",24,172
"1395",172,31
"1396",31,144
"1397",144,5
"1398",5,150
"1399",150,39
"1400",39,135
"1401",135,62
"1402",62,127
"1403",127,6
"1404",6,143
"1405",143,53
"1406",53,13
"1407",13,60
"1408",60,99
"1409",99,40
"1410",40,116
"1411",116,152
"1412",152,52
"1413",52,98
"1414",98,129
"1415",129,171
"1416",171,72
"1417",72,139
"1418",139,46
"1419",46,82
"1420",82,26
"1421",26,155
"1422",155,76
"1423",76,141
"1424",141,36
"1425",36,9
"1426",9,85
"1427",85,110
"1428",110,77
"1429",77,130
"1430",130,53
"1431",53,112
"1432",112,71
"1433",71,144
"1434",144,12
"1435",12,148
"1436",148,101
"1437",101,124
"1438",124,68
"1439",68,23
"1440",23,156
"1441",156,4
"1442",4,153
"1443",153,17
"1444",17,57
"1445",57,96
"1446",96,65
"1447",65,20
"1448",20,159
"1449",159,118
"1450",118,30
"1451",30,175
"1452",175,67
"1453",67,26
"1454",26,147
"1455",147,46
"1456",46,8
"1457",8,120
"1458",120,19
"1459",19,160
"1460",160,11
"1461",11,108
"1462",108,82
"1463",82,42
"1464",42,115
"1465",115,148
"1466",148,91
"1467",91,46
"1468",46,136
"1469",136,98
"1470",98,45
"1471",45,103
"1472",103,138
"1473",138,96
"1474",96,143
"1475",143,178
"1476",178,131
"1477",131,58
"1478",58,92
"1479",92,123
"1480",123,73
"1481",73,127
"1482",127,1
"1483",1,38
"1484",38,164
"1485",164,114
"1486",114,41
"1487",41,170
"1488",170,136
"1489",136,72
"1490",72,141
"1491",141,5
"1492",5,152
"1493",152,25
"1494",25,168
"1495",168,34
"1496",34,107
"1497",107,75
"1498",75,125
"1499",125,156
"1500",156,88
"1501",88,53
"1502",53,171
"1503",171,69
"1504",69,20
"1505",20,95
"1506",95,46
"1507",46,84
"1508",84,174
"1509",174,23
"1510",23,165
"1511",165,37
"1512",37,142
"1513",142,100
"1514",100,135
"1515",135,80
"1516",80,47
"1517",47,90
"1518",90,151
"1519",151,10
"1520",10,86
"1521",86,128
"1522",128,99
"1523",99,29
"1524",29,178
"1525",178,70
"1526",70,169
"1527",169,146
"1528",146,35
"1529",35,160
"1530",160,6
"1531",6,49
"1532",49,101
"1533",101,132
"1534",132,74
"1535",74,169
"1536",169,126
"1537",126,90
"1538",90,144
"1539",144,46
"1540",46,12
"1541",12,131
"1542",131,163
"1543",163,115
"1544",115,90
"1545",90,50
"1546",50,18
"1547",18,172
"1548",172,121
"1549",121,78
"1550",78,106
"1551",106,154
"1552",154,28
"1553",28,138
"1554",138,64
"1555",64,151
"1556",151,75
"1557",75,156
"1558",156,62
"1559",62,146
"1560",146,107
"1561",107,44
"1562",44,117
"1563",117,174
"1564",174,38
"1565",38,82
"1566",82,130
"1567",130,13
"1568",13,44
"1569",44,149
"1570",149,95
"1571",95,32
"1572",32,178
"1573",178,145
"1574",145,70
"1575",70,136
"1576",136,32
"1577",32,67
"1578",67,146
"1579",146,27
"1580",27,179
"1581",179,59
"1582",59,142
"1583",142,111
"1584",111,76
"1585",76,138
"1586",138,83
"1587",83,117
"1588",117,60
"1589",60,107
"1590",107,133
"1591",133,174
"1592",174,98
"1593",98,39
"1594",39,121
"1595",121,94
"1596",94,46
"1597",46,77
"1598",77,42
"1599",42,179
"1600",179,51
"1601",51,125
"1602",125,93
"1603",93,62
"1604",62,152
"1605",152,9
"1606",9,158
"1607",158,21
"1608",21,101
"1609",101,55
"1610",55,80
"1611",80,105
"1612",105,32
"1613",32,142
"1614",142,115
"1615",115,38
"1616",38,136
"1617",136,14
"1618",14,159
"1619",159,57
"1620",57,127
"1621",127,166
"1622",166,22
"1623",22,175
"1624",175,34
"1625",34,2
"1626",2,155
"1627",155,123
"1628",123,102
"1629",102,54
"1630",54,8
"1631",8,161
"1632",161,103
"1633",103,122
"1634",122,156
"1635",156,30
"1636",30,80
"1637",80,125
"1638",125,3
"1639",3,101
"1640",101,71
"1641",71,37
"1642",37,172
"1643",172,136
"1644",136,66
"1645",66,95
"1646",95,39
"1647",39,119
"1648",119,81
"1649",81,40
"1650",40,118
"1651",118,173
"1652",173,17
"1653",17,51
"1654",51,169
"1655",169,138
"1656",138,70
"1657",70,126
"1658",126,154
"1659",154,33
"1660",33,170
"1661",170,19
"1662",19,152
"1663",152,97
"1664",97,46
"1665",46,151
"1666",151,20
"1667",20,155
"1668",155,11
"1669",11,143
"1670",143,73
"1671",73,100
"1672",100,133
"1673",133,54
"1674",54,87
"1675",87,112
"1676",112,64
"1677",64,134
"1678",134,85
"1679",85,127
"1680",127,37
"1681",37,3
"1682",3,28
"1683",28,78
"1684",78,48
"1685",48,93
"1686",93,140
"1687",140,30
"1688",30,150
"1689",150,80
"1690",80,110
"1691",110,140
"1692",140,75
"1693",75,48
"1694",48,120
"1695",120,165
"1696",165,133
"1697",133,95
"1698",95,120
"1699",120,2
"1700",2,110
"1701",110,10
"1702",10,35
"1703",35,166
"1704",166,26
"1705",26,98
"1706",98,75
"1707",75,135
"1708",135,104
"1709",104,35
"1710",35,87
"1711",87,123
"1712",123,78
"1713",78,151
"1714",151,43
"1715",43,100
"1716",100,61
"1717",61,153
"1718",153,84
"1719",84,116
"1720",116,147
"1721",147,57
"1722",57,177
"1723",177,40
"1724",40,1
"1725",1,156
"1726",156,16
"1727",16,168
"1728",168,21
"1729",21,62
"1730",62,140
"1731",140,73
"1732",73,30
"1733",30,1
"1734",1,146
"1735",146,176
"1736",176,41
"1737",41,79
"1738",79,177
"1739",177,112
"1740",112,159
"1741",159,125
"1742",125,65
"1743",65,113
"1744",113,86
"1745",86,109
"1746",109,157
"1747",157,86
"1748",86,43
"1749",43,75
"1750",75,146
"1751",146,46
"1752",46,148
"1753",148,175
"1754",175,53
"1755",53,140
"1756",140,38
"1757",38,84
"1758",84,132
"1759",132,65
"1760",65,159
"1761",159,30
"1762",30,163
"1763",163,9
"1764",9,45
"1765",45,78
"1766",78,128
"1767",128,101
"1768",101,139
"1769",139,82
"1770",82,5
"1771",5,50
"1772",50,76
"1773",76,174
"1774",174,138
"1775",138,80
"1776",80,118
"1777",118,151
"1778",151,27
"1779",27,160
"1780",160,60
"1781",60,141
"1782",141,22
"1783",22,161
"1784",161,13
"1785",13,170
"1786",170,123
"1787",123,55
"1788",55,111
"1789",111,154
"1790",154,15
"1791",15,76
"1792",76,106
"1793",106,82
"1794",82,162
"1795",162,10
"1796",10,44
"1797",44,167
"1798",167,108
"1799",108,131
"1800",131,70
"1801",70,98
"1802",98,146
"1803",146,114
"1804",114,74
"1805",74,21
"1806",21,176
"1807",176,31
"1808",31,88
"1809",88,130
"1810",130,175
"1811",175,75
"1812",75,133
"1813",133,69
"1814",69,1
"1815",1,26
"1816",26,161
"1817",161,111
"1818",111,149
"1819",149,63
"1820",63,92
"1821",92,49
"1822",49,151
"1823",151,106
"1824",106,11
"1825",11,145
"1826",145,118
"1827",118,71
"1828",71,149
"1829",149,50
"1830",50,22
"1831",22,153
"1832",153,45
"1833",45,96
"1834",96,119
"1835",119,49
"1836",49,77
"1837",77,137
"1838",137,97
"1839",97,43
"1840",43,125
"1841",125,150
"1842",150,90
"1843",90,55
"1844",55,5
"1845",5,163
"1846",163,18
"1847",18,157
"1848",157,5
"1849",5,35
"1850",35,93
"1851",93,145
"1852",145,64
"1853",64,122
"1854",122,56
"1855",56,110
"1856",110,88
"1857",88,120
"1858",120,79
"1859",79,141
"1860",141,68
"1861",68,16
"1862",16,52
"1863",52,111
"1864",111,136
"1865",136,23
"1866",23,53
"1867",53,155
"1868",155,14
"1869",14,60
"1870",60,22
